对战模式,阵营/国家,样本数,正样本比例,逻辑回归AUC,随机森林AUC,逻辑回归准确率,随机森林准确率
单挑(1v1),东德(0),751,0.5299600532623169,0.9945422535211268,0.9913732394366197,0.9403973509933775,0.9403973509933775
单挑(1v1),苏联(1),767,0.43285528031290743,0.9536798764796706,0.9665465774575399,0.8831168831168831,0.9155844155844156
单挑(1v1),西德(2),1072,0.5018656716417911,0.9749913464866735,0.9878850813430253,0.9209302325581395,0.9395348837209302
单挑(1v1),美国(3),480,0.5145833333333333,0.9826313504125054,0.9861050803300043,0.9166666666666666,0.9479166666666666
单挑(1v1),英国(4),576,0.5347222222222222,0.9982078853046595,0.9917861409796893,0.9655172413793104,0.9396551724137931
团战(nvn),东德(0),4093,0.5169802101148302,0.9504799770757217,0.9622734436564224,0.8827838827838828,0.8937728937728938
团战(nvn),苏联(1),3669,0.46388661760697736,0.939787996416841,0.9505337414153479,0.8637602179836512,0.8719346049046321
团战(nvn),西德(2),4898,0.5357288689260923,0.9463485086342229,0.9588969126111984,0.8816326530612245,0.8959183673469387
团战(nvn),美国(3),2318,0.499137187230371,0.9535523186682521,0.9556982015457788,0.8943965517241379,0.8771551724137931
团战(nvn),英国(4),2998,0.48632421614409604,0.9409580145881515,0.9430317114392457,0.865,0.8733333333333333
